role_code,account_code
AR,
AP,
CASH,
BANK,
SALES,
SALES_RETURNS,
VAT_PAYABLE,
VAT_RECOVERABLE,
INVENTORY,
COGS,
INV_ADJ,
ROUNDING,
INTERCO_AR,
INTERCO_AP,
GRNI,
